Participant,Block Design Raw Score,Step,Chest Distance,HeadCamera Distance,LeftElbow Distance,LeftShoulder Distance,MotionControllerLeft Distance,MotionControllerRight Distance,RightElbow Distance,RightShoulder Distance
C001,36,Add Beef,667.4172892651459,892.6124372197788,546.694850339064,632.7558382926618,654.9990733302429,2123.031272434717,0.0,0.0
C001,36,Add Carrot,288.9996992173385,379.5836658060518,865.5893466323564,584.4943074766795,1058.248779940966,1419.6095421431078,0.0,0.0
C001,36,Add Onion,591.9777679182754,744.175226884437,479.25309631665016,548.1604357924198,567.2502823379905,1678.9581150447152,0.0,0.0
C001,36,Add Potato,236.40734723784686,275.61784152795104,440.36849019625726,293.0966237327379,584.6021261075374,805.5912135954736,0.0,0.0
C001,36,Add Salt,83.29960306830816,98.2762210577914,73.6881151179883,69.10506208040825,99.51980357605137,327.74435320357827,0.0,0.0
C001,36,Add Tomtato,327.6838998644613,393.89117650689155,421.34949309919017,372.08094956511644,534.8774300134114,1203.6028117595317,0.0,0.0
C001,36,Add pepper,89.76165001249382,129.60135799864645,149.48565275200997,138.2906965362327,170.54460860357685,350.98271506589475,0.0,0.0
C001,36,Post last step,224.37704795384093,331.45576378439074,299.4619279303741,282.40746744147015,343.9857314835955,766.2193829674685,0.0,0.0
C001,36,Pour Broth,812.6082163354354,899.9410763139891,891.8618022783778,928.5987493388872,1035.5731337024727,1784.4958187621962,0.0,0.0
C001,36,Stir Stew,90.13835817460082,134.12013405580774,120.82992539684768,124.00987632996817,132.6235594550514,445.50431856618485,0.0,0.0
C003,58,Add Beef,244.55396409056934,672.6200843075768,3621.467395487523,1107.6848296725432,1368.3880189517165,1709.467574212204,1416.8205671945962,896.1410241739178
C003,58,Add Carrot,342.4194847156004,393.8999836881409,1100.3423642282016,516.5830228255122,994.1279681555181,1303.6293604463065,870.2511079063468,627.7406897584082
C003,58,Add Onion,245.80993555375386,349.9427866833942,175.69313143278092,190.2967521945847,203.2552455789251,1743.5016650640323,1023.7683767869445,680.1784903128419
C003,58,Add Potato,266.8526222103898,306.15138671125044,541.5156965904579,497.554324846789,561.8990555978263,870.6363357619016,694.2784049104326,502.0643871218613
C003,58,Add Salt,0.0,69.96434484244433,34.4884736843596,48.02263379718349,26.279786364007286,301.31329883270575,288.3554966488046,159.02279097558562
